title,keyword,keyword_id,position,previous_position,last_seen,search_volume,cpc,traffic,traffic_percent,traffic_cost,traffic_cost_percent,competition,number_of_results,keyword_difficulty
PMP® Exam & Certification | Flat 40% Off - Enroll Now,PMP,6,1,1,2024-12-31,90500,3.76,4253,22.777420736932307,15991,24.663006261760078,0.6,166000000,78.0
PMP® Exam & Certification | Confidently Ace The PMP Exam,PMP,6,1,1,2025-01-01,90500,3.76,4253,22.777420736932307,15991,24.663006261760078,0.6,172000000,78.0
PMP® Training & Exam | Special Offer: Get $400 Off,PMP,6,1,2,2025-01-14,90500,3.82,1176,6.298200514138817,4492,6.928036028255036,0.65,154000000,77.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,Scrum Master,8,1,1,2025-01-10,18100,3.21,850,4.552270779777206,2728,4.207409235324964,0.64,32000000,70.0
PMP® Certification | Ace PMP Exam in 1st Attempt,PMP,6,3,3,2025-01-07,90500,3.82,814,4.359468723221937,3109,4.795027607267343,0.65,165000000,78.0
ITIL® 4 Certification Course | 100% Money Back Guarantee,ITIL,5,1,1,2025-01-26,14800,2.33,695,3.7221508140531276,1619,2.4969925043955703,0.49,13700000,55.0
PMP® Exam & Certification | Flat 40% Off - Enroll Now,PMP,6,4,4,2025-01-02,90500,3.76,633,3.390102827763496,2380,3.6706869428421607,0.6,176000000,82.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,Scrum Master,8,1,1,2025-01-17,9900,3.21,465,2.4903598971722363,1492,2.3011197137481108,0.64,44200000,50.0
Scrum Alliance CSM® Training | Flash Sale: Enroll @ $270,Scrum Master,8,1,1,2024-12-28,9900,4.52,465,2.4903598971722363,2101,3.2403837255930164,0.43,51800000,57.0
PMP® Certification Course | Ace PMP Exam in 1st Attempt,PMP,6,6,0,2025-01-26,90500,3.82,452,2.4207369323050556,1726,2.6620191862796507,0.65,155000000,70.0
Simplilearn PMP® Course | Special Offer: Get $400 Off,Simplilearn,9,1,1,2025-01-22,8100,2.31,380,2.035132819194516,877,1.3526018692741912,0.14,4130000,52.0
Simplilearn® Courses | Online Certification Courses,Simplilearn,9,1,1,2025-01-25,8100,2.31,380,2.035132819194516,877,1.3526018692741912,0.14,4880000,48.0
PMP® Certification Course,PMP,6,1,0,2025-01-26,6600,2.37,310,1.6602399314481577,734,1.1320521916160275,0.59,162000000,54.0
CSM Scrum Master Course Online - Limited-time Offer: $270 Only,Scrum Master,8,1,1,2025-01-07,5400,2.53,253,1.3549700085689802,640,0.9870754804281441,0.49,40200000,73.0
PMI Certified PMP® Training | Ace PMP Exam in 1st Attempt,PMP,6,1,1,2025-01-22,5400,3.35,253,1.3549700085689802,847,1.306332706129122,0.59,48200000,45.0
PMP® Certification | Special Offer: Get $400 Off,PMP,6,5,5,2024-12-31,49500,6.49,247,1.3228363324764352,1603,2.472315617384867,0.68,978000000,76.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,Scrum Master,8,2,2,2025-01-07,18100,3.21,235,1.2585689802913453,754,1.1628983003794071,0.64,16000000,70.0
Become a Certified ScrumMaster | Today's Offer: Up To 51% Off,Scrum Master,8,3,3,2025-01-04,18100,3.21,162,0.8676092544987147,520,0.8019988278478669,0.64,31900000,74.0
PMP® Certification | Confidently Ace The PMP Exam,PMP,6,4,4,2024-12-31,18100,3.76,126,0.6748071979434447,473,0.7295104722539252,0.6,931000000,82.0
Simplilearn® Courses | Online Certification Courses,Simplilearn,9,2,2,2025-01-12,8100,2.31,105,0.5623393316195373,242,0.37323791603689194,0.14,4490000,68.0
CAPM® Certification Training | Ace CAPM® Exam in 1st Attempt,CAPM,2,4,4,2025-01-25,14800,2.72,103,0.5516281062553555,280,0.431845522687313,0.63,5790000,58.0
ITIL Certification Course - 100% Exam Pass Guarantee,ITIL,5,4,4,2025-01-26,14800,2.33,103,0.5516281062553555,239,0.36861099972238504,0.49,13700000,55.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,Scrum Master,8,5,5,2024-12-29,18100,3.4,90,0.4820051413881748,306,0.47194546407970633,0.56,32700000,74.0
Simplilearn Post Graduate - Online Post Graduate Programs,Simplilearn,9,1,1,2025-01-21,1900,0.0,89,0.47664952870608396,0,0.0,0.0,68,30.0
PMP® Certification Course | Ace PMP Exam in 1st Attempt,PMP,6,2,2,2025-01-14,6600,2.37,85,0.4552270779777206,201,0.31000339307196395,0.59,166000000,55.0
SAFe® Agilist Certification | Special Offer: Get $250 Off,SAFe,7,2,2,2025-01-24,6600,3.77,85,0.4552270779777206,320,0.49353774021407204,0.41,1400000000,48.0
PMP® Certification | Ace PMP Exam in 1st Attempt,PMP,6,1,1,2025-01-19,1600,3.82,75,0.40167095115681234,286,0.4410993553163269,0.65,35300000,73.0
Simplilearn Online Bootcamps | Online Certification Courses,Simplilearn,9,1,1,2025-01-23,1600,1.31,75,0.40167095115681234,98,0.15114593294055953,0.13,64,57.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,Scrum Master,8,1,1,2025-01-02,1600,0.0,75,0.40167095115681234,0,0.0,0.0,16200000,68.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,Scrum Master,8,2,2,2024-12-30,5400,2.68,70,0.37489288774635815,187,0.2884111169375983,0.43,24600000,73.0
CSPO® Certification | Limited Offer: Enroll @ $270,CSPO,3,2,2,2025-01-07,5400,4.09,70,0.37489288774635815,286,0.4410993553163269,0.41,8660000,44.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,Scrum Master,8,4,4,2025-01-24,9900,3.21,69,0.36953727506426737,221,0.34084950183534346,0.64,31500000,54.0
PMP® Exam & Certification - Special Offer: Get $400 Off,PMP,6,5,5,2025-01-07,12100,2.59,60,0.3213367609254499,155,0.23905734291619113,0.33,112000000,46.0
PMP® Exam & Certification,PMP,6,3,0,2025-01-26,6600,2.6,59,0.31598114824335904,153,0.23597273203985317,0.39,21000000,60.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,Scrum Master,8,6,6,2024-12-30,9900,3.4,49,0.2624250214224507,166,0.2560227027360498,0.56,13200000,55.0
CSPO® Certification | Special Offer: Flat $279 Off,CSPO,3,3,3,2025-01-03,5400,4.09,48,0.2570694087403599,196,0.30229186588111906,0.41,8780000,44.0
Simplilearn® Courses - Online Certification Courses,Simplilearn,9,1,1,2025-01-13,1000,2.31,47,0.25171379605826905,108,0.16656898732224928,0.14,4340000,56.0
Simplilearn® Courses - Online Certification Courses,Simplilearn,9,1,1,2025-01-06,1000,2.31,47,0.25171379605826905,108,0.16656898732224928,0.14,4430000,66.0
Simplilearn® Courses | Online Certification Courses,Simplilearn,9,1,1,2025-01-06,1000,2.31,47,0.25171379605826905,108,0.16656898732224928,0.14,4350000,62.0
PMP® Exam & Certification | Confidently Ace The PMP Exam,PMP,6,4,4,2024-12-31,6600,2.17,46,0.24635818337617826,99,0.15268823837872852,0.36,24200000,68.0
PMP® Exam & Certification | Special Offer: Get $400 Off,PMP,6,4,4,2025-01-10,6600,2.6,46,0.24635818337617826,119,0.18353434714210803,0.39,20400000,63.0
PMP® Certification Course | Ace PMP Exam in 1st Attempt,PMP,6,1,1,2025-01-17,880,1.06,41,0.21958011996572407,43,0.06631913384126592,0.45,94000000,37.0
Simplilearn® Official Site | Online Courses,Simplilearn,9,1,1,2024-12-31,720,1.88,33,0.17673521850899743,62,0.09562293716647645,0.16,775000,37.0
PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,PMP,6,2,2,2025-01-15,2400,2.28,31,0.16602399314481578,70,0.10796138067182826,0.28,11400000,38.0
PMP® Exam & Certification | Flat 40% Off - Enroll Now,PMP,6,2,2,2025-01-22,2400,2.28,31,0.16602399314481578,70,0.10796138067182826,0.28,11600000,44.0
Simplilearn® Courses - Online Certification Courses,Simplilearn,9,1,1,2025-01-17,590,2.31,27,0.14460154241645243,62,0.09562293716647645,0.14,0,80.0
TOGAF® Architect Certification | Enroll in TOGAF® Course Now,TOGAF,10,2,2,2025-01-20,1900,2.34,24,0.12853470437017994,56,0.0863691045374626,0.52,1440000,43.0
PMP® Certification - Flat 40% Off - Enroll Now,PMP,6,2,2,2024-12-27,1900,1.85,24,0.12853470437017994,44,0.0678614392794349,0.34,8680000,27.0
ITIL® 4 Certification Course | Accredited Course Curriculum,ITIL,5,4,4,2025-01-25,2900,2.33,20,0.10711225364181663,46,0.07094605015577285,0.49,11300000,63.0
Simplilearn Online Bootcamps | Online Certification Courses,Simplilearn,9,2,2,2025-01-09,1600,1.31,20,0.10711225364181663,26,0.040099941392393354,0.13,75,55.0
SAFe® Agilist Certification | Special Offer: Get $250 Off,SAFe,7,4,4,2025-01-10,2900,3.77,20,0.10711225364181663,75,0.11567290786267312,0.41,5330000,57.0
Simplilearn® Courses - Online Certification Courses,Simplilearn,9,1,1,2025-01-06,390,2.31,18,0.09640102827763496,41,0.06323452296492797,0.14,4380000,70.0
TOGAF® Architect Certification | Enroll in TOGAF® Course Now,TOGAF,10,1,1,2024-12-28,390,2.35,18,0.09640102827763496,42,0.06477682840309695,0.41,1460000,50.0
AWS Certification Course,AWS,1,2,2,2025-01-24,1300,1.74,16,0.08568980291345331,27,0.04164224683056232,0.34,318000000,97.0
PMP® Exam & Certification | Confidently Ace The PMP Exam,PMP,6,1,1,2025-01-01,320,1.5,15,0.08033419023136247,22,0.03393071963971745,0.43,3230000,29.0
PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,PMP,6,1,1,2025-01-24,320,8.96,15,0.08033419023136247,134,0.20666892871464265,0.19,35800000,58.0
SAFe® Agilist Certification | Limited Offer: Enroll @ $545,SAFe,7,6,6,2025-01-10,2900,3.77,14,0.07497857754927163,52,0.08019988278478671,0.41,5330000,57.0
PMP® Certification Course | Ace PMP Exam in 1st Attempt,PMP,6,4,4,2025-01-15,1900,3.92,13,0.06962296486718081,50,0.07711527190844875,0.69,39400000,46.0
TOGAF® Architect Certification | TOGAF® Free Exam Retake,TOGAF,10,4,4,2024-12-30,1900,2.35,13,0.06962296486718081,30,0.04626916314506925,0.41,1750000,45.0
Simplilearn® Courses,Simplilearn,9,2,2,2025-01-06,1000,2.31,13,0.06962296486718081,30,0.04626916314506925,0.14,4350000,62.0
Simplilearn® Courses,Simplilearn,9,1,1,2025-01-01,260,1.88,12,0.06426735218508997,22,0.03393071963971745,0.16,4570000,48.0
PMP® Certification Course | Ace PMP Exam in 1st Attempt,PMP,6,5,5,2025-01-23,2400,7.22,12,0.06426735218508997,86,0.13263826768253184,0.69,71600000,70.0
Simplilearn® Official Site,Simplilearn,9,1,1,2025-01-08,260,1.31,12,0.06426735218508997,15,0.023134581572534625,0.13,1920000,45.0
PMP® Exam & Certification,PMP,6,4,4,2025-01-22,1600,2.6,11,0.05891173950299915,28,0.0431845522687313,0.39,51700000,67.0
Simplilearn® Official Site,Simplilearn,9,1,1,2025-01-05,210,2.31,9,0.04820051413881748,20,0.030846108763379503,0.14,4330000,63.0
SAFe® Agilist Certification | Special Offer: Get $250 Off,SAFe,7,2,0,2025-01-26,720,3.77,9,0.04820051413881748,33,0.05089607945957617,0.41,37100000,44.0
AWS Certified Cloud Practioner | Special Offer Get Flat 43% Off,AWS,1,3,0,2025-01-26,1000,1.5,9,0.04820051413881748,13,0.020049970696196677,0.41,29200000,78.0
TOGAF® Architect Certification - TOGAF® Free Exam Retake,TOGAF,10,6,6,2025-01-20,1900,2.34,9,0.04820051413881748,21,0.03238841420154848,0.52,1440000,43.0
PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,PMP,6,2,2,2025-01-13,720,3.98,9,0.04820051413881748,35,0.05398069033591413,0.57,8920000,70.0
TOGAF® Enterprise Architecture | Master TOGAF® Core Concepts,TOGAF,10,1,1,2025-01-25,210,3.85,9,0.04820051413881748,34,0.05243838489774515,0.38,4160000,43.0
Simplilearn Online Bootcamps | Online Certification Courses,Simplilearn,9,1,1,2025-01-22,170,2.31,7,0.037489288774635816,16,0.0246768870107036,0.14,4260000,49.0
Simplilearn® Courses,Simplilearn,9,2,2,2025-01-01,590,1.88,7,0.037489288774635816,13,0.020049970696196677,0.16,4820000,47.0
Simplilearn Courses,Simplilearn,9,1,1,2025-01-13,170,0.0,7,0.037489288774635816,0,0.0,0.0,4240000,78.0
Certified Scrum Product Owner® | Limited Offer: Flat $279 Off,Scrum Master,8,4,4,2025-01-06,1000,1.79,7,0.037489288774635816,12,0.0185076652580277,0.55,4570000,42.0
TOGAF® 10 Certification Course | Master TOGAF® Core Concepts,TOGAF,10,1,1,2025-01-01,140,2.35,6,0.032133676092544985,14,0.02159227613436565,0.41,2880000,51.0
Simplilearn Online Bootcamps | Online Certification Courses,Simplilearn,9,1,1,2025-01-22,140,2.31,6,0.032133676092544985,13,0.020049970696196677,0.14,4210000,49.0
Simplilearn® Courses | Online Certification Courses,Simplilearn,9,1,1,2025-01-18,140,2.31,6,0.032133676092544985,13,0.020049970696196677,0.14,4480000,38.0
Simplilearn® Courses,Simplilearn,9,1,1,2025-01-19,140,2.31,6,0.032133676092544985,13,0.020049970696196677,0.14,4340000,49.0
Become Certified Scrum Master | Flash Sale: Enroll @ $270,Scrum Master,8,4,4,2025-01-10,880,3.01,6,0.032133676092544985,18,0.027761497887041547,0.56,6460000,73.0
Simplilearn® Official Site - Online Certification Courses,Simplilearn,9,1,1,2025-01-15,140,2.31,6,0.032133676092544985,13,0.020049970696196677,0.14,4210000,54.0
PMP® Certification Course | Ace PMP Exam in 1st Attempt,PMP,6,5,5,2025-01-24,1300,9.39,6,0.032133676092544985,56,0.0863691045374626,0.42,209000000,70.0
Simplilearn® Courses | Online Certification Courses,Simplilearn,9,1,1,2024-12-31,110,1.88,5,0.026778063410454158,9,0.013880748943520774,0.16,4570000,44.0
PMP® Certification Course | Ace PMP Exam in 1st Attempt,PMP,6,3,3,2025-01-23,590,8.96,5,0.026778063410454158,44,0.0678614392794349,0.19,41600000,43.0
PMP® Training & Exam - Ace PMP Exam in 1st Attempt,PMP,6,3,3,2025-01-26,590,2.08,5,0.026778063410454158,10,0.015423054381689751,0.52,5570000,32.0
PMP® Certification Training | Ace PMP Exam in 1st Attempt,PMP,6,1,1,2025-01-13,110,3.07,5,0.026778063410454158,15,0.023134581572534625,0.4,10200000,33.0
ITIL Foundations Course | 100% Exam Pass Guarantee,ITIL,5,2,2,2025-01-09,390,3.33,5,0.026778063410454158,16,0.0246768870107036,0.52,9890000,44.0
Simplilearn® Courses | Level Up Your Skills | Launch Your Career,Simplilearn,9,1,1,2025-01-02,90,1.88,4,0.021422450728363327,7,0.010796138067182826,0.16,4460000,38.0
Simplilearn® Courses,Simplilearn,9,1,1,2025-01-20,90,0.0,4,0.021422450728363327,0,0.0,0.43,231000,36.0
Cloud Architect Certificate - Become a Cloud Architect,Cloud,4,3,3,2025-01-22,480,6.39,4,0.021422450728363327,25,0.03855763595422437,0.4,63800000,77.0
PMP® Certification Training | Flat 40% Off - Enroll Now,PMP,6,1,1,2025-01-18,90,5.98,4,0.021422450728363327,23,0.035473025077886425,0.46,40900000,25.0
CSPO® Certification Course | Limited Offer: Flat $279 Off,CSPO,3,3,3,2024-12-31,480,6.97,4,0.021422450728363327,27,0.04164224683056232,0.24,8690000,44.0
Simplilearn® Official Site,Simplilearn,9,1,1,2025-01-20,90,1.31,4,0.021422450728363327,5,0.007711527190844876,0.13,61,19.0
